No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1228	1	7		0	0	2016/06/28 08:24:35
1229	1	11		0	0	2016/06/28 08:24:53
1230	1	6		0	0	2016/06/28 08:39:57
1231	1	4		0	0	2016/06/28 08:42:02
1232	1	15		0	0	2016/06/28 10:06:21
1233	1	10		0	0	2016/06/28 10:12:21
1234	1	2		0	0	2016/06/28 10:12:37
1235	1	14		0	0	2016/06/28 10:57:17
1236	1	12		0	0	2016/06/28 14:52:01
1237	1	2		0	0	2016/06/28 17:07:16
1238	1	11		0	0	2016/06/28 18:18:58
1239	1	4		0	0	2016/06/28 18:20:43
1240	1	8		0	0	2016/06/28 18:26:59
1241	1	3		0	0	2016/06/28 18:27:11
1242	1	14		0	0	2016/06/28 18:27:25
1243	1	7		0	0	2016/06/28 18:54:32
1244	1	7		0	0	2016/06/28 18:54:32
1245	1	10		0	0	2016/06/28 19:08:50
1246	1	14		0	0	2016/06/29 07:05:01
1247	1	3		0	0	2016/06/29 08:10:03
1248	1	5		0	0	2016/06/29 08:29:37
1249	1	7		0	0	2016/06/29 08:45:13
1250	1	7		0	0	2016/06/29 08:45:15
1251	1	11		0	0	2016/06/29 08:45:52
1252	1	4		0	0	2016/06/29 09:11:53
1253	1	15		0	0	2016/06/29 09:56:53
1254	1	9		0	0	2016/06/29 10:11:12
1255	1	10		0	0	2016/06/29 10:16:39
1256	1	13		0	0	2016/06/29 10:58:47
1257	1	14		0	0	2016/06/29 14:52:27
1258	1	6		0	0	2016/06/29 17:49:01
1259	1	3		0	0	2016/06/29 18:31:01
1260	1	5		0	0	2016/06/29 18:37:56
1261	1	13		0	0	2016/06/29 18:48:17
1262	1	7		0	0	2016/06/29 18:50:39
1263	1	7		0	0	2016/06/29 18:50:41
1264	1	11		0	0	2016/06/29 18:55:55
1265	1	10		0	0	2016/06/29 19:02:22
1266	1	9		0	0	2016/06/29 19:02:44
1267	1	14		0	0	2016/06/30 07:09:17
1268	1	8		0	0	2016/06/30 08:21:17
1269	1	7		0	0	2016/06/30 08:28:18
1270	1	11		0	0	2016/06/30 08:28:35
1271	1	5		0	0	2016/06/30 08:42:54
1272	1	6		0	0	2016/06/30 08:48:42
1273	1	2		0	0	2016/06/30 09:56:08
1274	1	12		0	0	2016/06/30 10:02:04
1275	1	15		0	0	2016/06/30 10:09:53
1276	1	14		0	0	2016/06/30 14:50:16
1277	1	2		0	0	2016/06/30 16:01:16
1278	1	12		0	0	2016/06/30 17:52:21
1279	1	4		0	0	2016/06/30 17:55:57
1280	1	8		0	0	2016/06/30 18:26:40
1281	1	6		0	0	2016/06/30 18:34:36
1282	1	5		0	0	2016/06/30 18:34:51
1283	1	11		0	0	2016/06/30 18:56:31
1284	1	13		0	0	2016/06/30 18:56:41
1285	1	7		0	0	2016/06/30 18:58:30
1286	1	9		0	0	2016/06/30 19:10:47
1287	1	14		0	0	2016/07/01 07:06:46
1288	1	5		0	0	2016/07/01 08:09:26
1289	1	8		0	0	2016/07/01 08:13:38
1290	1	11		0	0	2016/07/01 08:20:47
1291	1	4		0	0	2016/07/01 08:20:52
1292	1	6		0	0	2016/07/01 08:21:02
1293	1	7		0	0	2016/07/01 08:21:10
1294	1	12		0	0	2016/07/01 09:54:45
1295	1	2		0	0	2016/07/01 10:02:41
1296	1	9		0	0	2016/07/01 10:11:47
1297	1	10		0	0	2016/07/01 10:18:45
1298	1	3		0	0	2016/07/01 11:15:15
1299	1	14		0	0	2016/07/01 14:53:16
1300	1	12		0	0	2016/07/01 17:51:27
1301	1	6		0	0	2016/07/01 18:08:41
1302	1	4		0	0	2016/07/01 18:15:25
1303	1	5		0	0	2016/07/01 18:17:38
1304	1	8		0	0	2016/07/01 18:19:43
1305	1	3		0	0	2016/07/01 18:19:51
1306	1	7		0	0	2016/07/01 19:02:53
1307	1	10		0	0	2016/07/01 19:14:51
1308	1	11		0	0	2016/07/01 19:19:19
1309	1	14		0	0	2016/07/02 07:07:31
1310	1	5		0	0	2016/07/02 08:28:44
1311	1	7		0	0	2016/07/02 08:28:55
1312	1	7		0	0	2016/07/02 08:28:55
1313	1	11		0	0	2016/07/02 08:29:12
1314	1	3		0	0	2016/07/02 08:34:39
1315	1	8		0	0	2016/07/02 08:34:52
1316	1	4		0	0	2016/07/02 08:35:36
1317	1	6		0	0	2016/07/02 08:36:18
1318	1	6		0	0	2016/07/02 08:36:30
1319	1	9		0	0	2016/07/02 10:08:30
1320	1	10		0	0	2016/07/02 10:24:58
1321	1	13		0	0	2016/07/02 10:51:45
1322	1	14		0	0	2016/07/02 14:54:14
1323	1	6		0	0	2016/07/02 18:12:06
1324	1	4		0	0	2016/07/02 18:13:20
1325	1	5		0	0	2016/07/02 18:17:33
1326	1	3		0	0	2016/07/02 18:23:28
1327	1	8		0	0	2016/07/02 18:24:00
1328	1	10		0	0	2016/07/02 18:50:03
1329	1	13		0	0	2016/07/02 18:55:37
1330	1	9		0	0	2016/07/02 19:06:37
1331	1	7		0	0	2016/07/02 19:11:25
1332	1	7		0	0	2016/07/03 08:31:23
1333	1	11		0	0	2016/07/03 08:31:38
1334	1	3		0	0	2016/07/03 08:47:27
1335	1	14		0	0	2016/07/03 09:00:37
1336	1	4		0	0	2016/07/03 09:01:55
1337	1	6		0	0	2016/07/03 09:02:39
1338	1	9		0	0	2016/07/03 09:02:48
1339	1	10		0	0	2016/07/03 10:40:50
1340	1	9		0	0	2016/07/03 17:04:41
1341	1	14		0	0	2016/07/03 17:26:10
1342	1	3		0	0	2016/07/03 18:17:55
1343	1	5		0	0	2016/07/03 18:18:06
1344	1	13		0	0	2016/07/03 18:47:44
1345	1	10		0	0	2016/07/03 18:51:02
1346	1	8		0	0	2016/07/03 19:22:01
1347	1	11		0	0	2016/07/04 07:06:43
1348	1	6		0	0	2016/07/04 08:01:44
1349	1	7		0	0	2016/07/04 08:16:36
1350	1	7		0	0	2016/07/04 08:16:36
1351	1	4		0	0	2016/07/04 08:47:26
1352	1	15		0	0	2016/07/04 09:55:52
1353	1	9		0	0	2016/07/04 10:01:07
1354	1	10		0	0	2016/07/04 10:23:52
